ParticleID,InitialSpeed(m/s),InitialPosX(m),InitialPosY(m),InitialPosZ(m),CollisionType,MinEarthDistance(m),MinJupiterDistance(m)
0,33897.03846668297,155890929944.90198,241599970.79316023,-920474630.6257198,0,868236470.7730497,870460584031.171
1,33907.0105620704,155890711621.20996,241587430.53573862,-923280351.0620102,0,870603016.7382729,870460473779.2643
2,33892.48267526488,155889989897.53943,241010999.24966854,-923940552.9188106,0,871159652.0289885,870459578583.1697
3,33923.67547068645,155891064821.4676,241454252.85369867,-920070550.59881,0,877134454.6256906,870460555174.5078
4,33912.30749546084,155889076239.0429,241542062.6907301,-922418117.3357054,0,874500669.7519953,870459369069.8547
5,33907.48505458459,155888849057.9594,242004801.44205287,-919412916.637214,0,873692393.931317,870459532004.8151
6,33911.049273135606,155888531017.76715,240001520.5070243,-920985039.1885617,0,873404711.5972255,870457820564.1154
7,33899.90407465228,155889278709.83133,239696256.129631,-922037984.5340534,0,866563060.9461802,870458087071.5964
8,33904.84104644148,155889739434.62476,240195829.60089132,-920526978.2854973,0,871479747.9113955,870458744061.5941
9,33917.149089649196,155890310053.3206,242403895.02390096,-922014540.9853709,0,874159358.2076004,870460817493.0664
10,33907.75643250783,155891278047.58554,240961266.58877808,-920364803.771644,0,869718112.5577298,870460320356.4729
11,33914.816361854144,155890159630.4517,241911551.32221255,-919365405.1777335,0,874346823.2814171,870460306853.2527
12,33914.3194541098,155890467620.5034,241776847.13729522,-921639177.4840605,0,874211432.015437,870460436664.0652
13,33912.42573393797,155889254229.48798,242264315.71732152,-923128281.9945192,0,878314398.9338204,870460046744.1165
14,33913.11541514486,155889557747.34076,239678683.23345667,-922065400.1564585,0,875679025.7930958,870458255427.2689
15,33920.549385497165,155889001367.0513,241139031.00716957,-921309299.9915514,0,878434205.1407713,870458999494.3126
16,33920.6606182887,155891682589.41388,241941900.6051873,-921871653.1444628,0,875703121.8305993,870461352750.983
17,33906.133063407004,155889512133.57486,242359396.42136586,-921738930.3544732,0,874920073.3139474,870460265364.4532
18,33905.989305877745,155889239176.20087,242014943.82035226,-921387760.3846058,0,871800724.1645098,870459820403.9622
19,33920.166374279885,155890076644.1028,240976187.84729233,-921444146.2875417,0,882693523.3060647,870459572726.9988
20,33903.455647605624,155891303526.23154,241850911.20786333,-921916644.1523433,0,874916074.6145536,870461040013.4679
21,33900.72927893989,155890605392.0655,241720946.7296064,-923083332.6796695,0,869406638.4873909,870460504863.6035
22,33886.386737815905,155888984235.58453,243162543.64529952,-921804811.5530207,0,871097529.4242384,870460537400.7975
23,33913.53942120612,155889464334.06418,241651453.44507822,-921992711.6782544,0,874118078.4510696,870459697148.5876
